iter	Passed	Remaining
0	148	148788
1	150	75218
2	152	50825
3	155	38618
4	157	31335
5	159	26450
6	162	23047
7	164	20426
8	166	18379
9	169	16743
10	171	15401
11	174	14393
12	178	13526
13	180	12742
14	183	12018
15	185	11412
16	188	10901
17	191	10443
18	193	9978
19	195	9573
20	197	9212
21	199	8871
22	202	8616
23	205	8363
24	208	8139
25	211	7924
26	214	7722
27	217	7562
28	220	7377
29	222	7202
30	225	7039
31	227	6896
32	230	6756
33	233	6643
34	236	6524
35	239	6406
36	242	6301
37	244	6201
38	247	6105
39	250	6014
40	253	5930
41	254	5813
42	257	5719
43	259	5638
44	263	5583
45	266	5529
46	269	5464
47	272	5407
48	274	5337
49	278	5283
50	280	5227
51	283	5166
52	286	5113
53	288	5054
54	290	4989
55	293	4948
56	297	4913
57	299	4865
58	302	4829
59	304	4771
60	305	4703
61	308	4659
62	310	4613
63	312	4566
64	314	4523
65	316	4484
66	318	4434
67	319	4375
68	321	4336
69	324	4310
70	327	4280
71	330	4260
72	333	4236
73	335	4197
74	337	4164
75	340	4141
76	343	4116
77	345	4086
78	347	4054
79	349	4024
80	352	3996
81	354	3973
82	357	3952
83	361	3937
84	362	3903
85	364	3874
86	365	3838
87	367	3810
88	369	3781
89	371	3753
90	372	3725
91	374	3697
92	376	3670
93	377	3642
94	379	3614
95	380	3586
96	383	3567
97	385	3552
98	388	3536
99	390	3517
100	393	3501
101	394	3472
102	396	3449
103	398	3429
104	400	3409
105	402	3392
106	404	3372
107	405	3352
108	407	3332
109	409	3311
110	411	3291
111	413	3279
112	415	3262
113	417	3244
114	419	3226
115	420	3206
116	422	3189
117	424	3169
118	425	3148
119	426	3129
120	428	3112
121	430	3095
122	430	3072
123	431	3051
124	433	3033
125	434	3014
126	435	2995
127	436	2974
128	437	2956
129	439	2938
130	440	2922
131	442	2908
132	444	2898
133	447	2891
134	449	2877
135	450	2862
136	452	2847
137	453	2831
138	454	2817
139	456	2801
140	458	2793
141	461	2789
142	463	2779
143	465	2769
144	467	2757
145	469	2745
146	471	2735
147	474	2730
148	476	2722
149	478	2714
150	481	2705
151	483	2695
152	484	2684
153	486	2672
154	488	2661
155	489	2650
156	491	2639
157	493	2627
158	494	2616
159	496	2604
160	497	2593
161	498	2581
162	500	2569
163	501	2558
164	503	2548
165	505	2538
166	506	2528
167	508	2518
168	509	2507
169	511	2496
170	512	2485
171	514	2474
172	515	2463
173	516	2453
174	518	2442
175	519	2432
176	520	2422
177	522	2410
178	523	2400
179	524	2389
180	525	2375
181	526	2364
182	527	2355
183	528	2345
184	530	2336
185	531	2326
186	532	2317
187	535	2311
188	536	2303
189	538	2294
190	539	2285
191	540	2276
192	542	2267
193	543	2258
194	545	2250
195	546	2242
196	547	2233
197	549	2225
198	550	2217
199	552	2208
200	553	2200
201	554	2192
202	556	2183
203	557	2175
204	559	2169
205	561	2162
206	562	2154
207	564	2147
208	566	2143
209	568	2140
210	570	2134
211	572	2127
212	573	2120
213	575	2113
214	577	2107
215	579	2104
216	580	2094
217	582	2088
218	584	2083
219	586	2078
220	587	2072
221	589	2066
222	591	2060
223	592	2053
224	594	2048
