iter	Passed	Remaining
0	165	164838
1	167	83402
2	172	57315
3	175	43629
4	177	35401
5	181	30014
6	184	26196
7	188	23351
8	191	21134
9	194	19208
10	197	17779
11	201	16622
12	204	15543
13	207	14634
14	210	13845
15	214	13193
16	218	12639
17	221	12107
18	225	11621
19	228	11217
20	232	10826
21	235	10460
22	237	10109
23	242	9848
24	248	9676
25	251	9421
26	255	9194
27	259	9005
28	262	8803
29	265	8571
30	267	8358
31	269	8159
32	272	7995
33	276	7844
34	278	7671
35	280	7504
36	282	7346
37	285	7225
38	287	7095
39	289	6959
40	291	6827
41	293	6696
42	295	6574
43	296	6451
44	300	6367
45	302	6280
46	304	6179
47	307	6095
48	309	6000
49	310	5904
50	312	5813
51	314	5730
52	316	5646
53	317	5568
54	319	5484
55	320	5401
56	321	5319
57	322	5244
58	323	5166
59	325	5091
60	325	5017
61	327	4947
62	330	4912
63	332	4860
64	334	4810
65	336	4759
66	337	4700
67	338	4640
68	339	4582
69	340	4524
70	341	4469
71	342	4416
72	343	4366
73	345	4321
74	347	4284
75	348	4240
76	350	4196
77	351	4154
78	353	4115
79	354	4076
80	355	4038
81	357	4003
82	359	3975
83	363	3958
84	365	3932
85	367	3910
86	369	3874
87	370	3837
88	371	3806
89	374	3788
90	377	3769
91	379	3745
92	381	3725
93	384	3708
94	387	3687
95	390	3674
96	394	3668
97	396	3649
98	398	3631
99	401	3612
100	404	3598
101	405	3568
102	406	3539
103	407	3510
104	408	3480
105	409	3450
106	409	3421
107	410	3391
108	411	3362
109	412	3334
110	412	3305
111	413	3277
112	414	3249
113	414	3222
114	415	3195
115	415	3169
116	416	3144
117	417	3121
118	418	3099
119	419	3077
120	420	3054
121	421	3035
122	423	3016
123	423	2993
124	424	2970
125	426	2955
126	426	2933
127	427	2911
128	428	2891
129	429	2872
130	430	2853
131	431	2835
132	432	2820
133	433	2804
134	435	2791
135	436	2775
136	437	2756
137	438	2736
138	438	2718
139	439	2700
140	440	2682
141	440	2663
142	441	2645
143	442	2629
144	443	2612
145	443	2595
146	444	2577
147	444	2560
148	445	2543
149	445	2526
150	447	2514
151	448	2500
152	449	2487
153	450	2474
154	451	2460
155	451	2445
156	452	2430
157	453	2419
158	454	2404
159	455	2390
160	455	2374
161	456	2359
162	456	2344
163	457	2330
164	457	2316
165	458	2302
166	458	2288
167	459	2274
168	459	2261
169	460	2249
170	461	2237
171	462	2228
172	463	2216
173	464	2204
174	465	2194
175	466	2183
176	467	2171
177	467	2159
178	468	2147
179	468	2135
180	469	2123
181	469	2111
182	470	2100
183	471	2089
184	471	2077
185	472	2066
186	472	2054
187	473	2043
188	473	2032
189	474	2021
190	474	2011
191	475	2001
192	477	1995
193	478	1989
194	479	1981
195	480	1972
196	481	1963
197	482	1953
198	483	1944
199	483	1935
200	484	1925
201	485	1916
202	485	1906
203	486	1897
204	486	1887
205	487	1878
206	487	1869
207	488	1859
208	489	1850
209	489	1841
210	490	1833
211	491	1825
212	492	1818
213	493	1810
214	494	1804
215	495	1798
216	496	1791
217	497	1783
218	497	1775
219	498	1767
220	499	1759
221	499	1751
222	500	1743
223	501	1735
224	501	1727
225	502	1720
226	502	1712
227	503	1704
228	504	1699
229	505	1692
230	508	1693
231	509	1687
232	513	1691
233	514	1684
234	515	1677
235	516	1670
236	516	1663
237	517	1656
238	517	1649
239	518	1642
240	519	1635
241	519	1628
242	520	1621
243	521	1615
244	522	1610
245	523	1603
246	523	1596
247	524	1590
248	525	1584
249	526	1579
250	527	1572
251	527	1566
252	528	1559
253	528	1553
254	529	1546
255	530	1540
256	530	1534
257	531	1527
258	531	1521
259	532	1515
260	533	1509
261	533	1504
262	534	1497
263	535	1491
264	536	1486
265	537	1482
266	537	1476
267	538	1471
268	539	1466
269	540	1461
270	541	1455
271	542	1451
272	544	1449
273	544	1443
274	545	1437
275	545	1432
276	546	1426
277	547	1421
278	547	1415
279	548	1409
280	548	1404
281	549	1398
282	550	1393
283	550	1389
284	551	1384
285	552	1379
286	553	1374
287	553	1369
288	554	1364
289	555	1359
290	555	1354
291	556	1348
292	556	1343
293	557	1338
294	557	1333
295	558	1328
296	559	1323
297	559	1318
298	560	1313
299	561	1309
300	561	1304
301	562	1299
302	562	1294
303	563	1289
304	563	1284
305	564	1280
306	565	1275
307	567	1274
308	568	1271
309	569	1267
310	570	1263
311	571	1259
312	571	1254
313	572	1250
314	573	1246
315	573	1242
316	574	1237
317	575	1233
318	575	1228
319	576	1224
320	576	1219
321	577	1215
322	577	1210
323	578	1206
324	578	1201
325	579	1197
326	579	1193
327	580	1189
328	581	1185
329	581	1181
330	582	1177
331	583	1174
332	584	1170
333	584	1166
334	585	1162
335	586	1158
336	586	1154
337	587	1149
338	587	1145
339	588	1141
340	588	1137
341	589	1133
342	589	1129
343	590	1125
344	590	1122
345	591	1118
346	592	1114
347	592	1110
348	593	1106
349	593	1102
350	594	1098
351	595	1095
352	596	1093
353	597	1090
354	598	1087
355	599	1084
356	600	1081
357	601	1077
358	601	1074
359	602	1071
360	603	1067
361	603	1064
362	604	1061
363	605	1057
364	606	1054
365	606	1051
366	607	1047
367	608	1044
368	608	1041
369	609	1037
370	610	1035
371	612	1033
372	613	1031
373	615	1030
374	616	1028
375	618	1025
376	618	1022
377	619	1020
378	620	1017
379	621	1014
380	622	1011
381	623	1008
382	624	1005
383	625	1002
384	626	1001
385	628	999
386	630	998
387	632	997
388	633	994
389	634	991
390	635	989
391	636	986
392	637	984
393	638	981
394	639	978
395	640	976
396	642	975
397	643	973
398	644	970
399	645	968
400	646	966
401	647	963
402	648	960
403	649	958
404	650	956
405	651	953
406	652	950
407	653	948
408	654	945
